Class Standing,Cumulative GPA,LLM Frequency (ChatGPT),LLM Frequency (Claude),LLM Frequency (Gemini),LLM Frequency (Copilot),LLM Frequency (Perplexity),LLM Frequency (Deepseek),Math Usage,CS Usage,Data Science Usage,AI Chatbot Usage,Coding Self Confidence,Research Self Confidence,Data Analysis Self Confidence,Writing Self Confidence,Topic Summarization Self Confidence,Agreement,Overreliance Concern,Loss of Learning Concern,Math Trust,CS Trust,Data Science Trust,Hallucinations/Wrong Answers
Senior,3.33 – 3.67,Use Frequently,Never Used,Used 1-2 times,Never Used,Never Used,Never Used,2.0,1.0,1.0,2.0,Fairly Confident,Very Confident,Fairly Confident,Very Confident,Very Confident,4.0,4 (Moderately influential),5 (Extremely influential),2.0,2.0,2.0,4 (Moderately influential)
Junior,3.67 – 4.0,Use Rarely,Never Used,Use Rarely,Use Rarely,Never Used,Never Used,2.0,3.0,3.0,0.0,Fairly Confident,Very Confident,Fairly Confident,Very Confident,Very Confident,1.0,5 (Extremely influential),4 (Moderately influential),4.0,4.0,4.0,3 (Partially Influential)
Junior,3.33 – 3.67,Use Frequently,Use Frequently,Use Rarely,Never Used,Never Used,Never Used,2.0,2.0,2.0,2.0,Slightly Confident,Mostly Confident,Somewhat Confident,Fairly Confident,Fairly Confident,2.0,3 (Partially Influential),2 (Somewhat influential),1.0,2.0,1.0,2 (Somewhat influential)
Senior,3.33 – 3.67,Use Frequently,Use Frequently,Used 1-2 times,Use Rarely,Never Used,Never Used,0.0,4.0,0.0,5.0,Very Confident,Mostly Confident,Somewhat Confident,Very Confident,Very Confident,5.0,5 (Extremely influential),5 (Extremely influential),5.0,5.0,0.0,2 (Somewhat influential)
Junior,3.33 – 3.67,Use Frequently,Never Used,Use Frequently,Use Frequently,Never Used,Use Rarely,2.0,2.0,4.0,3.0,Fairly Confident,Fairly Confident,Somewhat Confident,Somewhat Confident,Somewhat Confident,2.0,5 (Extremely influential),4 (Moderately influential),5.0,5.0,5.0,4 (Moderately influential)
Graduate,1.67 – 2.0,,,,,,,,,,,,,,,,,,,1.0,,,
Junior,3.33 – 3.67,Used 1-2 times,Used 1-2 times,Use Frequently,Used 1-2 times,Never Used,Used 1-2 times,5.0,5.0,5.0,5.0,Very Confident,Very Confident,Very Confident,Very Confident,Very Confident,5.0,2 (Somewhat influential),2 (Somewhat influential),3.0,2.0,2.0,2 (Somewhat influential)
Sophomore,3.0 – 3.33,Use Frequently,Use Frequently,Use Frequently,Use Frequently,Never Used,Used 1-2 times,5.0,5.0,5.0,5.0,Somewhat Confident,Very Confident,Mostly Confident,Very Confident,Very Confident,3.0,5 (Extremely influential),5 (Extremely influential),1.0,1.0,1.0,3 (Partially Influential)
Sophomore,3.0 – 3.33,Used 1-2 times,Never Used,Never Used,Never Used,Never Used,Used 1-2 times,0.0,0.0,0.0,0.0,Fairly Confident,Very Confident,Fairly Confident,Mostly Confident,Very Confident,5.0,5 (Extremely influential),5 (Extremely influential),0.0,0.0,0.0,5 (Extremely influential)
Junior,3.33 – 3.67,Use Rarely,Never Used,Never Used,Used 1-2 times,Never Used,Never Used,1.0,1.0,0.0,2.0,Mostly Confident,Very Confident,Fairly Confident,Very Confident,Very Confident,0.0,5 (Extremely influential),5 (Extremely influential),2.0,2.0,2.0,5 (Extremely influential)
Junior,3.33 – 3.67,Use Rarely,Use Frequently,Use Rarely,Used 1-2 times,Used 1-2 times,Used 1-2 times,2.0,2.0,1.0,2.0,Fairly Confident,Very Confident,Somewhat Confident,Very Confident,Very Confident,3.0,4 (Moderately influential),4 (Moderately influential),5.0,5.0,5.0,3 (Partially Influential)
Senior,3.67 – 4.0,Use Rarely,Use Frequently,Use Frequently,Never Used,Never Used,Never Used,4.0,5.0,2.0,4.0,Somewhat Confident,Mostly Confident,Fairly Confident,Fairly Confident,Fairly Confident,2.0,4 (Moderately influential),3 (Partially Influential),5.0,5.0,3.0,2 (Somewhat influential)
Senior,3.33 – 3.67,Use Frequently,Use Frequently,Use Rarely,Use Rarely,Use Rarely,Use Frequently,3.0,2.0,2.0,4.0,Mostly Confident,Mostly Confident,Fairly Confident,Very Confident,Mostly Confident,5.0,4 (Moderately influential),4 (Moderately influential),5.0,5.0,5.0,4 (Moderately influential)
